地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京省,,5.49,5.58,5.3,5.2,4.95,4.92,4.52,4.31,4.27
天津省,,5.3,5.42,5.05,5.54,5.61,6.05,6,6.12,6.08
河北省,,6.12,6.38,6.6,6.36,5.79,6.23,6.87,6.41,6.52
山西省,,5.85,5.32,5.45,5.52,5.56,5.93,5.57,5.83,5.61
内蒙古省,,5.66,5.95,5.74,5.69,5.32,5.75,5.62,5.52,5.43
辽宁省,,7.25,7.39,6.93,6.78,6.59,6.23,6.12,6.54,6.05
吉林省,,6.9,6.26,6.5,5.6,5.53,6.22,5.04,5.37,5.51
黑龙江省,,6.74,6.67,6.63,6.61,6.6,6.46,6.08,6.03,5.92
上海省,,5.5,5.4,5.3,5,5.07,5.21,5.24,5.36,5.1
江苏省,,7.04,7.03,7.03,7.03,7.03,7.02,7.01,6.99,6.98
浙江省,,5.52,5.58,5.56,5.52,5.5,5.51,5.45,5.52,5.4
安徽省,,6.04,5.96,5.9,5.96,5.94,5.89,6.06,6.14,5.91
福建省,,6.1,6.2,6.2,6.2,6.1,6.2,6.01,5.73,5.2
江西省,,6.03,6.06,6.08,6.16,6.24,6.26,6.28,6.14,5.98
山东省,,7.5,7.18,7.4,7.05,6.67,6.84,6.4,6.95,6.4
河南省,,6.84,6.8,6.97,7.11,7.05,7.02,6.76,6.71,6.62
湖北省,,7.08,7,7.01,6.97,5.83,6.96,6.15,6.12,6.01
湖南省,,7.28,7.08,7.08,7.01,6.86,6.89,6.96,7.01,6.8
广东省,,4.46,4.55,4.52,4.41,4.32,4.7,4.69,4.65,4.35
广西省,,6.14,5.96,6.22,5.95,6.15,6.21,6.35,6.31,6.04
海南省,,6.11,6.01,6.01,6,6,5.95,5.9,5.81,5.75
重庆省,,7.57,7.54,7.27,7.24,7.19,7.05,6.77,6.86,6.71
四川省,,7.09,7.01,7.03,6.99,6.94,7.02,6.9,6.92,6.81
贵州省,,6.95,6.85,6.88,6.93,7.2,7.18,7.15,6.96,6.93
云南省,,6.2,6.32,6.68,6.55,6.48,6.45,6.43,6.41,6.36
西藏省,,4.46,4.58,4.95,5.11,5.1,5.21,5.39,5.21,5.13
陕西省,,6.28,6.24,6.24,6.23,6.28,6.26,6.15,6.24,6.06
甘肃省,,6.75,6.65,6.52,6.18,6.15,6.11,6.08,6.05,6.03
青海省,,6.08,6.25,6.17,6.18,6.17,6.18,6.13,6.06,6.12
宁夏省,,5.69,5.54,4.75,4.72,4.58,4.53,4.5,4.33,4.68
新疆省,,4.45,4.56,4.48,4.26,4.51,4.97,4.92,4.48,4.42
